txt_orig,name_formatted,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,2025Q2,2025Q3
Products,Revenue_Product,104429,77457,63355,70958,96388,73929,60584,67184,96458,66886,61564,69958,97960,68714,66613
Services,Revenue_Service,19516,19821,19604,19188,20766,20907,21213,22314,23117,23867,24213,24972,26340,26645,27423
Total net sales,Revenue_Total,123945,97278,82959,90146,117154,94836,81797,89498,119575,90753,85777,94930,124300,95359,94036
Products,COGS_Product,64309,49290,41485,46387,60765,46795,39136,42586,58440,42424,39803,44566,59447,44030,43620
Services,COGS_Service,5393,5429,5589,5664,6057,6065,6248,6485,6280,6058,6296,6485,6578,6462,6698
Total cost of sales,COGS_Total,69702,54719,47074,52051,66822,52860,45384,49071,64720,48482,46099,51051,66025,50492,50318
Gross margin,GrossProfit,54243,42559,35885,38095,50332,41976,36413,40427,54855,42271,39678,43879,58275,44867,43718
Research and development,XRD,6306,6387,6797,6761,7709,7457,7442,7307,7696,7903,8006,7765,8268,8550,8866
"Selling, general and administrative",XSGA,6449,6193,6012,6440,6607,6201,5973,6151,6786,6468,6320,6523,7175,6728,6650
Total operating expenses,OperatingExpenses,12755,12580,12809,13201,14316,13658,13415,13458,14482,14371,14326,14288,15443,15278,15516
Operating income,OperatingIncome,41488,29979,23076,24894,36016,28318,22998,26969,40373,27900,25352,29591,42832,29589,28202
"Other income/(expense), net",NonoperatingIncome,-247,160,-10,-237,-393,64,-265,29,-50,158,142,19,-248,-279,-171
Income before provision for income taxes,IncomeBeforeTax,41241,30139,23066,24657,35623,28382,22733,26998,40323,28058,25494,29610,42584,29310,28031
Provision for income taxes,TaxExpense,6611,5129,3624,3936,5625,4222,2852,4042,6407,4422,4046,14874,6254,4530,4597
Net income,IncomeAfterTax,34630,25010,19442,20721,29998,24160,19881,22956,33916,23636,21448,14736,36330,24780,23434
Basic,EPS_Basic,2.11,1.54,1.2,1.29,1.89,1.53,1.27,1.47,2.19,1.53,1.4,0.98,2.41,1.65,1.57
Diluted,EPS_Diluted,2.1,1.52,1.2,1.29,1.88,1.52,1.26,1.46,2.18,1.53,1.4,0.97,2.4,1.65,1.57
Basic,ShareOutstanding_Basic,16391724,16278802,16162945,16162945,15892723,15787154,15697614,15697614,15509763,15405856,15287521,15287521,15081724,14994082,14902886
Diluted,ShareOutstanding_Diluted,16519291,16403316,16262203,16262203,15955718,15847050,15775021,15775021,15576641,15464709,15348175,15348175,15150865,15056133,14948179
