num_accession,cik_int,name,type_filing,address_business,symbol,name_exch,exhibit_list,website,flag_amend,ind_small_business,ind_emerging,ind_shell
0000320193-23-000106,320193,Apple Inc.,10-K,"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",AAPL,NASDAQ,['EX-4.1' 'EX-21.1' 'EX-23.1' 'EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.apple.com,FALSE,FALSE,FALSE,FALSE
0000320193-24-000006,320193,Apple Inc.,10-Q,"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",AAPL,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.apple.com,FALSE,FALSE,FALSE,FALSE
0000320193-24-000069,320193,Apple Inc.,10-Q,"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",AAPL,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.apple.com,FALSE,FALSE,FALSE,FALSE
0000320193-24-000081,320193,Apple Inc.,10-Q,"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",AAPL,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.apple.com,FALSE,FALSE,FALSE,FALSE
0000320193-24-000123,320193,Apple Inc.,10-K,"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",AAPL,NASDAQ,"['EX-4.1' 'EX-10.19' 'EX-10.20' 'EX-10.21' 'EX-10.22' 'EX-19.1' 'EX-21.1'
 'EX-23.1' 'EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-97.1']",http://www.apple.com,FALSE,FALSE,FALSE,FALSE
0000320193-25-000008,320193,Apple Inc.,10-Q,"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",AAPL,NASDAQ,['EX-10.1' 'EX-10.2' 'EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.apple.com,FALSE,FALSE,FALSE,FALSE
0000320193-25-000057,320193,Apple Inc.,10-Q,"ONE APPLE PARK WAY, CUPERTINO, CA, 95014",AAPL,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.apple.com,FALSE,FALSE,FALSE,FALSE
0001193125-24-249126,1000697,WATERS CORP /DE/,10-Q,"34 MAPLE ST, MILFORD, MA, 01757",WAT,NYSE,['EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://watercorp.com,FALSE,FALSE,FALSE,FALSE
0001437749-23-030219,1001385,NORTHWEST PIPE CO,10-Q,"201 NE PARK PLAZA DRIVE, SUITE 100, VANCOUVER, WA, 98684",NWPX,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://www.nwpipe.com,FALSE,FALSE,FALSE,FALSE
0001493152-25-004358,1001601,"MGT CAPITAL INVESTMENTS, INC.",10-Q,"150 FAYETTEVILLE STREET,, SUITE 1110, RALEIGH, NC, 27601",,,['EX-31' 'EX-32'],http://mgtci.com,FALSE,TRUE,FALSE,FALSE
0001558370-24-010710,1001838,SOUTHERN COPPER CORP/,10-Q,"7310 NORTH 16TH ST., SUITE 135, PHOENIX, AZ, 85020",SCCO,NYSE,['EX-15.0' 'EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://www.southernperu.com,FALSE,FALSE,FALSE,FALSE
0001004434-24-000040,1004434,"AFFILIATED MANAGERS GROUP, INC.",10-Q,"777 SOUTH FLAGLER DRIVE, SUITE 1401 EAST TOWER, WEST PALM BEACH, FL, 33401",AMG,NYSE,['EX-10.1' 'EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://www.amg.com,FALSE,FALSE,FALSE,FALSE
0001004702-25-000081,1004702,OCEANFIRST FINANCIAL CORP,10-Q,"975 HOOPER AVE, TOMS RIVER, NJ, 08753-8396",OCFC,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.0'],http://www.oceanfirstonline.com,FALSE,FALSE,FALSE,FALSE
0001493152-25-004500,1007019,COFFEE HOLDING CO INC,10-K,"3475 VICTORY BLVD, STATEN ISLAND, NY, 10314",JVA,NASDAQ,['EX-10.21' 'EX-10.22' 'EX-10.23' 'EX-21.1' 'EX-23.1' 'EX-31.1' 'EX-32.1'],http://coffeeholding.com,FALSE,TRUE,FALSE,FALSE
0001437749-25-014208,1008586,STREAMLINE HEALTH SOLUTIONS INC.,10-K,"2400 OLD MILTON PARKWAY, BOX 1353, ALPHARETTA, GA, 30009",STRM,NASDAQ,"['EX-4.2' 'EX-19' 'EX-21.1' 'EX-23.1' 'EX-31.1' 'EX-31.2' 'EX-32.1'
 'EX-32.2']",http://streamlinehealth.net,FALSE,TRUE,FALSE,FALSE
0000950170-25-062287,101382,UMB FINANCIAL CORP,10-Q,"1010 GRAND AVE, KANSAS CITY, MO, 64106",UMBF,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://www.umb.com,FALSE,FALSE,FALSE,FALSE
0000950170-23-058837,1015739,AWARE INC /MA/,10-Q,"76 BLANCHARD ROAD, BURLINGTON, MA, 01803",AWRE,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.aware.com,FALSE,TRUE,FALSE,FALSE
0000950170-24-052854,1015739,AWARE INC /MA/,10-Q,"76 BLANCHARD ROAD, BURLINGTON, MA, 01803",AWRE,NASDAQ,['EX-10.5' 'EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.aware.com,FALSE,TRUE,FALSE,FALSE
0000950170-24-120107,1015739,AWARE INC /MA/,10-Q,"76 BLANCHARD ROAD, BURLINGTON, MA, 01803",AWRE,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.aware.com,FALSE,TRUE,FALSE,FALSE
0000950170-25-062767,1015739,AWARE INC /MA/,10-Q,"76 BLANCHARD ROAD, BURLINGTON, MA, 01803",AWRE,NASDAQ,['EX-10.3' 'EX-31.1' 'EX-31.2' 'EX-32.1'],http://www.aware.com,FALSE,TRUE,FALSE,FALSE
0001016281-24-000091,1016281,CARRIAGE SERVICES INC,10-Q,"3040 POST OAK BOULEVARD, SUITE 300, HOUSTON, TX, 77056",CSV,NYSE,"['EX-10.3' 'EX-10.4' 'EX-10.5' 'EX-10.6' 'EX-10.7' 'EX-31.1' 'EX-31.2'
 'EX-32']",http://www.carriageservices.com,FALSE,FALSE,FALSE,FALSE
0001016281-24-000132,1016281,CARRIAGE SERVICES INC,10-Q,"3040 POST OAK BOULEVARD, SUITE 300, HOUSTON, TX, 77056",CSV,NYSE,['EX-10.5' 'EX-31.1' 'EX-31.2' 'EX-32'],http://www.carriageservices.com,FALSE,FALSE,FALSE,FALSE
0001016281-24-000170,1016281,CARRIAGE SERVICES INC,10-Q,"3040 POST OAK BOULEVARD, SUITE 300, HOUSTON, TX, 77056",CSV,NYSE,['EX-31.1' 'EX-31.2' 'EX-32'],http://www.carriageservices.com,FALSE,FALSE,FALSE,FALSE
0001016281-25-000077,1016281,CARRIAGE SERVICES INC,10-Q,"3040 POST OAK BOULEVARD, SUITE 300, HOUSTON, TX, 77056",CSV,NYSE,"['EX-10.1' 'EX-10.2' 'EX-10.3' 'EX-10.4' 'EX-10.5' 'EX-31.1' 'EX-31.2'
 'EX-32']",http://www.carriageservices.com,FALSE,FALSE,FALSE,FALSE
0001018164-23-000027,1018164,WILLIS LEASE FINANCE CORP,10-Q,"4700 LYONS TECHNOLOGY PARKWAY, COCONUT CREEK, FL, 33073",WLFC,NASDAQ,['EX-10.1' 'EX-31.1' 'EX-31.2' 'EX-32'],http://willislease.com,FALSE,TRUE,FALSE,FALSE
0001018164-24-000032,1018164,WILLIS LEASE FINANCE CORP,10-Q,"4700 LYONS TECHNOLOGY PARKWAY, COCONUT CREEK, FL, 33073",WLFC,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32'],http://willislease.com,FALSE,TRUE,FALSE,FALSE
0001018164-24-000066,1018164,WILLIS LEASE FINANCE CORP,10-Q,"4700 LYONS TECHNOLOGY PARKWAY, COCONUT CREEK, FL, 33073",WLFC,NASDAQ,"['EX-10.1' 'EX-10.2' 'EX-10.3' 'EX-10.4' 'EX-10.5' 'EX-31.1' 'EX-31.2'
 'EX-32']",http://willislease.com,FALSE,TRUE,FALSE,FALSE
0001018724-24-000008,1018724,AMAZON COM INC,10-K,"410 TERRY AVENUE NORTH, SEATTLE, WA, 98109",AMZN,NASDAQ,"['EX-10.7' 'EX-21.1' 'EX-23.1' 'EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'
 'EX-97.1']",http://www.amazon.com,FALSE,FALSE,FALSE,FALSE
0001018724-24-000130,1018724,AMAZON COM INC,10-Q,"410 TERRY AVENUE NORTH, SEATTLE, WA, 98109",AMZN,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://www.amazon.com,FALSE,FALSE,FALSE,FALSE
0001018724-24-000161,1018724,AMAZON COM INC,10-Q,"410 TERRY AVENUE NORTH, SEATTLE, WA, 98109",AMZN,NASDAQ,['EX-10.1' 'EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://www.amazon.com,FALSE,FALSE,FALSE,FALSE
0001018724-25-000036,1018724,AMAZON COM INC,10-Q,"410 TERRY AVENUE NORTH, SEATTLE, WA, 98109",AMZN,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://www.amazon.com,FALSE,FALSE,FALSE,FALSE
0001022652-23-000035,1022652,INSEEGO CORP.,10-Q,"9710 SCRANTON ROAD, SUITE 200, SAN DIEGO, CA, 92121",INSG,NASDAQ,['EX-10.1' 'EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://www.inseego.com,FALSE,TRUE,FALSE,FALSE
0000950170-24-052499,1023313,"FORRESTER RESEARCH, INC.",10-Q,"60 ACORN PARK DRIVE, CAMBRIDGE, MA, 02140",FORR,NASDAQ,['EX-31.1' 'EX-31.2' 'EX-32.1' 'EX-32.2'],http://www.forrester.com,FALSE,FALSE,FALSE,FALSE
